emp_no,title,birth_date,first_name,last_name,to_date
10522,Senior Staff,1955-07-24,Marke,Cesareni,9999-01-01
10529,Assistant Engineer,1952-11-21,Ymte,Yetto,9999-01-01
10531,Staff,1954-06-11,Oguz,Gimbel,9999-01-01
10542,Senior Engineer,1955-01-05,Yannis,Couchot,9999-01-01
10548,Senior Staff,1952-06-12,Ramalingam,Gunderson,9999-01-01
10552,Senior Engineer,1953-03-25,Kazuhito,Shiratori,9999-01-01
10564,Senior Engineer,1955-04-14,Jianhao,Thisen,9999-01-01
10568,Staff,1953-12-02,Gao,Poulakidas,9999-01-01
10586,Senior Engineer,1954-06-23,Kirk,Vuskovic,9999-01-01
10593,Senior Engineer,1952-07-24,Falguni,Kenevan,9999-01-01
10596,Senior Staff,1954-01-24,Sanjit,Coors,9999-01-01
10603,Staff,1955-08-02,Wayne,Restivo,9999-01-01
10610,Engineer,1955-06-24,Irena,Roccetti,9999-01-01
10614,Senior Engineer,1953-07-11,Gila,Ozeri,9999-01-01
10615,Senior Staff,1955-08-30,Keung,Delgrande,9999-01-01
10623,Senior Engineer,1953-07-11,Aleksander,Danlos,9999-01-01
10624,Technique Leader,1955-12-19,Sham,Gyorkos,9999-01-01
10628,Senior Engineer,1954-04-18,Krisda,Krogh,9999-01-01
10630,Engineer,1954-08-10,Bezalel,Katzenelson,9999-01-01
10631,Engineer,1955-05-17,Inderjeet,Chaudhuri,9999-01-01
10634,Senior Engineer,1954-08-01,Nahid,Chepyzhov,9999-01-01
10636,Staff,1955-08-25,Saeko,Porotnikoff,9999-01-01
10639,Senior Engineer,1953-04-18,Pramod,Erol,9999-01-01
10641,Engineer,1953-12-24,Guozhong,Zucker,9999-01-01
10642,Engineer,1955-12-19,Hirochika,Narlikar,9999-01-01
10653,Senior Engineer,1953-06-16,Otmar,Feinberg,9999-01-01
10667,Senior Staff,1955-08-05,Makato,Cusworth,9999-01-01
10671,Senior Staff,1953-06-12,Parviz,Rebaine,9999-01-01
10676,Engineer,1953-08-26,Valeri,Danley,9999-01-01
10683,Senior Engineer,1952-06-18,Guiseppe,Stranks,9999-01-01
10693,Senior Staff,1953-12-14,Berhard,Daescu,9999-01-01
10696,Technique Leader,1952-03-23,Unal,Fendler,9999-01-01
10702,Senior Engineer,1952-11-25,Bader,Szemeredi,9999-01-01
10712,Senior Engineer,1952-04-12,Uma,Koprowski,9999-01-01
10718,Senior Engineer,1955-12-19,Adib,Rullman,9999-01-01
10726,Senior Engineer,1954-01-11,Zita,Minakawa,9999-01-01
10734,Engineer,1954-07-06,Sachar,Erdi,9999-01-01
10741,Senior Staff,1954-01-02,Sven,Huttel,9999-01-01
10742,Technique Leader,1955-03-13,Shim,Wiegley,9999-01-01
10745,Senior Engineer,1953-10-23,Poorav,Ranze,9999-01-01
10749,Senior Engineer,1955-08-21,King,Brendel,9999-01-01
10750,Technique Leader,1953-06-14,Roddy,Demeyer,9999-01-01
10764,Senior Engineer,1953-01-12,Yunming,Beetstra,9999-01-01
10767,Staff,1954-02-28,Monique,Doering,9999-01-01
10768,Senior Engineer,1955-06-24,Ishfaq,Candan,9999-01-01
10778,Senior Staff,1953-03-13,Selwyn,Merey,9999-01-01
10791,Senior Engineer,1954-05-27,Tadahiko,Sgarro,9999-01-01
10795,Senior Staff,1954-12-14,Supot,Naudin,9999-01-01
10808,Senior Engineer,1955-09-11,Chenxi,Leijenhorst,9999-01-01
10811,Engineer,1954-06-29,Ashish,Fortenbacher,9999-01-01
10813,Senior Staff,1954-07-04,Shalesh,Shumilov,9999-01-01
10814,Senior Staff,1952-09-17,Nidapan,Dymetman,9999-01-01
10826,Senior Engineer,1952-12-06,Arnd,Anandan,9999-01-01
10827,Staff,1953-09-25,Willard,Danley,9999-01-01
10830,Senior Staff,1954-08-17,Fen,Fiebach,9999-01-01
10831,Technique Leader,1953-10-11,Toong,Driscoll,9999-01-01
10833,Technique Leader,1953-04-12,Krisda,Gecseg,9999-01-01
10834,Engineer,1954-12-16,Huiqun,Rajcani,9999-01-01
10835,Engineer,1952-11-23,Tomoyuki,Kermarrec,9999-01-01
10836,Senior Staff,1953-07-15,Jianhua,Leivant,9999-01-01
10844,Engineer,1954-02-03,Dipayan,Koprowski,9999-01-01
10846,Senior Engineer,1952-06-27,Tokuyasu,Serre,9999-01-01
10847,Senior Staff,1952-03-04,Theirry,Danley,9999-01-01
10848,Senior Engineer,1954-07-16,Fen,Bratsberg,9999-01-01
10849,Engineer,1953-03-05,Makato,Mayerwieser,9999-01-01
10854,Engineer,1954-08-11,Jagoda,Nannarelli,9999-01-01
10858,Senior Engineer,1952-10-01,Kenroku,Gonthier,9999-01-01
10871,Staff,1952-10-24,Aram,Gilg,9999-01-01
10872,Senior Staff,1952-02-21,Karoline,Speel,9999-01-01
10873,Staff,1952-07-09,Sukumar,Wegerle,9999-01-01
10878,Staff,1952-06-13,Lakshmi,Deville,9999-01-01
10879,Senior Engineer,1953-08-18,Muzhong,Chleq,9999-01-01
10882,Engineer,1953-11-01,Fun,Heuser,9999-01-01
10883,Engineer,1952-07-30,Shimshon,Champarnaud,9999-01-01
10885,Senior Staff,1953-05-06,Rayond,Cronau,9999-01-01
10887,Senior Engineer,1953-01-16,Lunjin,DeMori,9999-01-01
10900,Senior Engineer,1955-07-18,Ferdinand,Prenel,9999-01-01
10906,Staff,1952-02-06,Munehiro,Carrere,9999-01-01
10909,Senior Engineer,1954-11-11,Georgi,Atchley,9999-01-01
10913,Staff,1952-09-03,Narain,Thummel,9999-01-01
10920,Senior Staff,1955-04-08,Ronghao,Narahara,9999-01-01
10921,Senior Engineer,1955-07-20,Mara,Bahi,9999-01-01
10924,Senior Staff,1954-04-27,Hironoby,Atchley,9999-01-01
10926,Senior Engineer,1954-10-13,Leni,Eppinger,9999-01-01
10927,Senior Staff,1953-03-13,Gal,Scallan,9999-01-01
10930,Senior Engineer,1954-01-13,Arch,Minakawa,9999-01-01
10932,Senior Engineer,1955-11-19,Avishai,Picci,9999-01-01
10936,Senior Staff,1953-04-08,Mountaz,Schicker,9999-01-01
10942,Engineer,1952-08-08,Toshimitsu,Larfeldt,9999-01-01
10943,Senior Engineer,1955-11-19,Berna,Skafidas,9999-01-01
10944,Senior Engineer,1952-05-25,Remko,Zyda,9999-01-01
10947,Senior Staff,1954-09-29,Gor,Usery,9999-01-01
10949,Senior Staff,1953-08-14,Shigeichiro,Wroclawski,9999-01-01
10956,Engineer,1955-02-02,Arno,Picel,9999-01-01
10965,Senior Staff,1955-07-10,Eckart,Braunschweig,9999-01-01
10969,Senior Engineer,1954-09-05,Premal,Noriega,9999-01-01
10974,Senior Engineer,1952-03-07,Muneo,Papsdorf,9999-01-01
10986,Technique Leader,1954-08-11,Masako,Schiper,9999-01-01
10987,Engineer,1952-11-26,Flemming,Baezner,9999-01-01
10988,Senior Engineer,1955-06-24,Chinya,Deyuan,9999-01-01
10989,Senior Staff,1954-09-08,Sumali,Candan,9999-01-01
10990,Technique Leader,1954-10-22,Shin,Foote,9999-01-01
10996,Senior Staff,1955-02-01,Matk,Rahimi,9999-01-01
11004,Senior Engineer,1954-08-05,JoAnna,Decleir,9999-01-01
11009,Senior Staff,1954-08-30,Alper,Axelband,9999-01-01
11012,Staff,1953-09-12,Taegyun,Speckmann,9999-01-01
11019,Senior Engineer,1954-09-06,Leon,Huttel,9999-01-01
11021,Staff,1954-07-13,Srinidhi,Henders,9999-01-01
11027,Senior Engineer,1955-12-13,Remzi,Cappello,9999-01-01
11031,Senior Staff,1954-12-20,Ottavia,Walstra,9999-01-01
11032,Staff,1953-04-19,Erez,Schaaf,9999-01-01
11037,Senior Engineer,1952-05-22,Lansing,Maliniak,9999-01-01
11038,Senior Staff,1955-10-13,Jinya,Beidas,9999-01-01
11042,Senior Engineer,1955-07-13,Gou,Breugel,9999-01-01
11048,Senior Staff,1952-10-26,Jaques,Demke,9999-01-01
11050,Senior Staff,1952-09-23,Elvis,Katiyar,9999-01-01
11051,Senior Engineer,1952-10-06,Przemyslawa,Erol,9999-01-01
11056,Staff,1955-10-24,Palash,Speel,9999-01-01
11061,Senior Staff,1954-11-11,Pintsang,Erni,9999-01-01
11064,Senior Engineer,1952-08-10,Shawna,Vieri,9999-01-01
11066,Senior Staff,1954-11-06,Shaz,Langford,9999-01-01
11070,Senior Engineer,1952-06-30,Adib,Raney,9999-01-01
11071,Senior Engineer,1954-07-18,Kwan,Sigstam,9999-01-01
11075,Senior Engineer,1954-10-28,Karsten,Belinskaya,9999-01-01
11079,Senior Engineer,1952-09-18,Piyush,Garigliano,9999-01-01
11081,Senior Staff,1952-06-20,Barry,Boyle,9999-01-01
11083,Senior Staff,1954-07-09,Shimshon,Ducloy,9999-01-01
11084,Senior Engineer,1955-07-03,Greger,Senzako,9999-01-01
11085,Senior Engineer,1953-09-08,Hailing,Thummel,9999-01-01
11087,Senior Engineer,1954-05-17,Changho,Jayawardene,9999-01-01
11089,Senior Staff,1955-02-18,Conal,Henders,9999-01-01
11091,Engineer,1952-10-10,Souichi,Ramsay,9999-01-01
11092,Staff,1954-09-28,Narain,Stamatiou,9999-01-01
11098,Engineer,1953-09-11,Arnd,Covnot,9999-01-01
11100,Senior Staff,1955-10-14,Berna,Cochrane,9999-01-01
11106,Senior Engineer,1955-02-23,Aris,Iwayama,9999-01-01
11111,Assistant Engineer,1954-07-14,Udi,Zastre,9999-01-01
11112,Staff,1954-08-05,Boaz,Mukaidono,9999-01-01
11113,Senior Staff,1953-04-28,Shahab,Peng,9999-01-01
11121,Senior Engineer,1953-02-13,Vugranam,Kakkad,9999-01-01
11130,Senior Staff,1953-01-17,Xinyu,Menhoudj,9999-01-01
11132,Senior Engineer,1952-08-01,Kristin,Harnett,9999-01-01
11133,Technique Leader,1955-12-13,Nalini,Azulay,9999-01-01
11134,Senior Engineer,1954-05-15,Sachar,Rajcani,9999-01-01
11137,Engineer,1955-03-17,Hugh,Luca,9999-01-01
11139,Senior Staff,1955-10-13,Bogdan,Homond,9999-01-01
11143,Engineer,1955-03-06,Yongdong,Rosen,9999-01-01
11144,Senior Staff,1954-12-07,Carrsten,Heinisuo,9999-01-01
11146,Senior Staff,1954-06-25,Ishfaq,Masand,9999-01-01
11147,Engineer,1955-09-26,Ayonca,Nitsch,9999-01-01
11148,Senior Staff,1953-01-23,Zhanqiu,Botman,9999-01-01
11158,Senior Engineer,1952-02-23,Masaki,Hagimont,9999-01-01
11162,Senior Engineer,1953-03-25,Kauko,Narlikar,9999-01-01
11168,Senior Staff,1953-05-03,Shmuel,Tetzlaff,9999-01-01
11170,Senior Engineer,1952-05-05,Minghong,Cannard,9999-01-01
11174,Engineer,1952-09-14,Akhilish,Milicia,9999-01-01
11177,Senior Engineer,1954-04-09,Chrisa,dAstous,9999-01-01
11180,Senior Engineer,1952-11-07,Mitsuyuki,Bojadziev,9999-01-01
11181,Engineer,1952-05-28,Hausi,Cullers,9999-01-01
11185,Senior Staff,1954-04-10,Aloys,Baezner,9999-01-01
11186,Senior Engineer,1953-07-15,Kshitij,Stasinski,9999-01-01
11189,Senior Staff,1953-03-07,Dante,Bodoff,9999-01-01
11192,Engineer,1952-09-06,Apostol,Bahr,9999-01-01
11197,Senior Staff,1955-05-11,Tadahiro,Fordan,9999-01-01
11201,Staff,1952-05-20,Jouko,Masaki,9999-01-01
11204,Technique Leader,1955-12-15,Diederik,Covnot,9999-01-01
11207,Engineer,1955-08-14,Saeed,Gips,9999-01-01
11208,Technique Leader,1952-05-29,Saniya,Valtorta,9999-01-01
11211,Senior Engineer,1952-12-11,Yurij,Rissland,9999-01-01
11213,Technique Leader,1955-10-19,Vugranam,Munoz,9999-01-01
11217,Senior Engineer,1954-07-01,Kellie,Mawatari,9999-01-01
11229,Senior Engineer,1953-10-20,Gretta,Ramamoorthy,9999-01-01
11232,Senior Staff,1955-09-03,Hidefumi,Crelier,9999-01-01
11233,Senior Engineer,1952-05-08,Sanjit,Waschkowski,9999-01-01
11240,Engineer,1955-08-12,Kiam,Condotta,9999-01-01
11243,Assistant Engineer,1955-06-14,Udi,Desikan,9999-01-01
11249,Engineer,1954-10-01,Randi,Cyre,9999-01-01
11251,Senior Staff,1955-10-16,Bezalel,Chinal,9999-01-01
11253,Senior Engineer,1952-09-11,Koldo,Pokrovskii,9999-01-01
11254,Staff,1954-12-14,Danel,Rindone,9999-01-01
11258,Senior Staff,1953-10-12,Aris,Maccarone,9999-01-01
11266,Senior Engineer,1955-08-09,Florina,Rohrbach,9999-01-01
11267,Senior Engineer,1955-10-18,Shaunak,Zaumen,9999-01-01
11268,Senior Engineer,1954-05-14,Aimee,Petersohn,9999-01-01
11274,Staff,1954-09-08,Masanao,Nicolson,9999-01-01
11275,Senior Engineer,1955-10-18,Hitomi,Eppinger,9999-01-01
11289,Senior Engineer,1953-03-20,Chuanti,Cherinka,9999-01-01
11290,Engineer,1953-05-07,Visit,Dredge,9999-01-01
11292,Senior Engineer,1953-05-18,Souichi,Sichman,9999-01-01
11294,Senior Engineer,1954-06-11,Tru,Segond,9999-01-01
11295,Senior Staff,1953-02-03,Abdelkader,Lanzelotte,9999-01-01
11296,Senior Engineer,1954-12-24,Hironobu,Kenevan,9999-01-01
11301,Senior Staff,1953-08-19,Mingzeng,Oxenboll,9999-01-01
11317,Senior Staff,1954-07-24,Shigeaki,Hagimont,9999-01-01
11319,Assistant Engineer,1955-06-05,Pranas,Marrakchi,9999-01-01
11320,Senior Staff,1954-04-13,Atilio,McAlpine,9999-01-01
11322,Senior Engineer,1952-07-19,Nathalie,Pocchiola,9999-01-01
11324,Senior Engineer,1953-11-16,Kauko,Billingsley,9999-01-01
11325,Engineer,1952-02-06,Samphel,Rossi,9999-01-01
11326,Senior Engineer,1952-09-15,Munenori,Plesums,9999-01-01
11338,Senior Staff,1954-11-03,Kwangsub,Hanratty,9999-01-01
11339,Senior Engineer,1954-06-05,Flemming,Massonet,9999-01-01
11340,Senior Engineer,1952-12-04,Aris,Bala,9999-01-01
11343,Senior Engineer,1954-09-10,Susanne,Erez,9999-01-01
11347,Senior Engineer,1954-12-27,Anneli,Jonsson,9999-01-01
11349,Engineer,1953-09-05,Yurii,Hammerschmidt,9999-01-01
11360,Senior Staff,1953-05-24,Fen,Schach,9999-01-01
11365,Engineer,1953-11-17,Toshimi,Shinomoto,9999-01-01
11373,Senior Staff,1953-07-29,Yongmao,Keohane,9999-01-01
11376,Senior Staff,1952-03-10,Valery,Suomi,9999-01-01
11380,Senior Engineer,1952-04-23,Kenroku,Pelc,9999-01-01
11385,Engineer,1952-03-04,Shiv,Ullian,9999-01-01
11386,Senior Engineer,1954-09-27,Alselm,Assaf,9999-01-01
11393,Senior Engineer,1954-05-17,Junsik,Junot,9999-01-01
11396,Engineer,1955-02-06,Anneke,Servieres,9999-01-01
11398,Senior Staff,1953-05-30,Oscar,Peir,9999-01-01
11401,Staff,1952-12-20,Huan,Merey,9999-01-01
11404,Technique Leader,1954-09-15,Bedrich,Borovoy,9999-01-01
11406,Senior Staff,1955-04-11,Eberhardt,Gini,9999-01-01
11410,Engineer,1953-11-27,Gro,Vendrig,9999-01-01
11415,Engineer,1953-10-29,Sanjiv,Anido,9999-01-01
11417,Technique Leader,1954-11-20,Anneli,Cyne,9999-01-01
11418,Senior Staff,1954-03-21,Satosi,Cooley,9999-01-01
11420,Senior Staff,1955-04-30,Tsutomu,Lalonde,9999-01-01
11421,Senior Engineer,1953-11-07,Josyula,Msuda,9999-01-01
11423,Staff,1954-09-16,Guangming,Kopetz,9999-01-01
11425,Senior Engineer,1955-11-20,Renee,Crelier,9999-01-01
11441,Senior Staff,1954-11-16,Marlo,Aingworth,9999-01-01
11446,Senior Engineer,1954-06-20,Naftali,Narahara,9999-01-01
11449,Senior Engineer,1955-03-30,Kotesh,Asser,9999-01-01
11451,Senior Engineer,1955-05-05,Eben,Rajaraman,9999-01-01
11452,Senior Staff,1953-01-16,Shigehito,Luby,9999-01-01
11459,Senior Staff,1953-10-14,Duke,Suomi,9999-01-01
11460,Senior Engineer,1955-11-19,Mana,Maraist,9999-01-01
11469,Senior Engineer,1952-12-01,Guttorm,Giaccio,9999-01-01
11474,Engineer,1953-04-17,Gennady,Akazan,9999-01-01
11476,Staff,1954-06-20,Manton,Yoshizawa,9999-01-01
11479,Staff,1953-12-02,Shridhar,Pleszkun,9999-01-01
11503,Senior Engineer,1953-08-01,Nathan,Picht,9999-01-01
11506,Staff,1955-06-16,Rance,Picel,9999-01-01
11509,Senior Engineer,1954-06-18,Aleksander,Feldhoffer,9999-01-01
11513,Senior Staff,1954-07-16,Otmar,Mahnke,9999-01-01
11515,Staff,1955-03-03,Ulf,Basawa,9999-01-01
11518,Senior Staff,1953-07-21,Jinxi,Oxman,9999-01-01
11519,Senior Staff,1954-11-26,Halsur,Chinen,9999-01-01
11523,Engineer,1953-01-25,Yuguang,Pezzoli,9999-01-01
11524,Senior Engineer,1955-10-26,Xiadong,Standera,9999-01-01
11527,Staff,1952-02-06,Alagu,Boyle,9999-01-01
11528,Technique Leader,1955-04-26,Zito,Dolinsky,9999-01-01
11531,Technique Leader,1952-09-08,Radhika,Motley,9999-01-01
11533,Technique Leader,1953-10-30,Vitaly,Lorch,9999-01-01
11537,Senior Staff,1955-06-29,DAIDA,Pehl,9999-01-01
11540,Senior Engineer,1954-01-26,Chanjung,Portugali,9999-01-01
11554,Staff,1955-05-28,Subhash,Taubenfeld,9999-01-01
11555,Senior Staff,1955-08-05,Kotesh,Perfilyeva,9999-01-01
11567,Senior Staff,1954-07-06,Teiji,Mitzlaff,9999-01-01
11568,Senior Engineer,1955-12-01,Martins,Fujisaki,9999-01-01
11573,Senior Engineer,1952-12-18,Pranas,Hutton,9999-01-01
11575,Engineer,1955-02-22,Godehard,Plotkin,9999-01-01
11577,Senior Engineer,1953-01-11,Mayumi,Deyuan,9999-01-01
11581,Senior Engineer,1953-04-12,Patricio,Rosenbaum,9999-01-01
11587,Senior Engineer,1954-07-04,Shem,Zambonelli,9999-01-01
11589,Senior Engineer,1955-01-10,Gina,Plessier,9999-01-01
11595,Senior Staff,1953-02-26,Takanari,Kamber,9999-01-01
11596,Staff,1952-12-22,Yannik,Gunderson,9999-01-01
11602,Senior Staff,1953-08-09,Somnath,Malabarba,9999-01-01
11603,Senior Staff,1954-12-07,Herb,Swen,9999-01-01
11606,Senior Staff,1952-11-05,Perry,Pepe,9999-01-01
11607,Engineer,1953-12-03,Tomokazu,Foong,9999-01-01
11615,Senior Staff,1955-03-05,Shem,Isaak,9999-01-01
11616,Engineer,1954-07-12,Zhilian,Brendel,9999-01-01
11624,Senior Engineer,1955-05-16,Adil,Gammage,9999-01-01
11628,Senior Engineer,1952-02-14,Fan,Malinowski,9999-01-01
11640,Senior Engineer,1953-10-06,Valeri,Coorg,9999-01-01
11641,Senior Engineer,1955-10-13,Chikako,Rothenberg,9999-01-01
11644,Assistant Engineer,1952-04-08,Sanjit,Zaiane,9999-01-01
11646,Engineer,1953-06-22,Lobel,Rubsam,9999-01-01
11647,Senior Engineer,1953-10-13,Magy,Nitsche,9999-01-01
11649,Technique Leader,1954-10-07,Shen,Bernardinello,9999-01-01
11660,Senior Staff,1955-07-19,Gill,Stenning,9999-01-01
11664,Senior Staff,1955-08-27,Oksana,Brizzi,9999-01-01
11667,Senior Staff,1955-05-15,Kristian,Marchegay,9999-01-01
11673,Technique Leader,1954-12-20,Henk,Felder,9999-01-01
11676,Engineer,1952-04-12,Valeri,Ferriere,9999-01-01
11681,Senior Engineer,1952-05-15,Fumitake,Benzmuller,9999-01-01
